Richard Stock;10.12.2018 00:00:00;Refreshed the Test of LST and KY #34 now working there should be no :bug: any longer.;c3aa1b7;4;4;8
Richard Stock;10.12.2018 00:00:00;Automat work now also the TLS test :bulb:;5eb5fce;4;40;64
Richard Stock;09.12.2018 00:00:00;Make big Changes in Automat and in Sensors :hammer:;24cc483;17;232;28
Richard Stock;09.12.2018 00:00:00;Make little Changes :wrench:;af917d5;5;7;4
Richard Stock;09.12.2018 00:00:00;Datagrid working now.;c6b0120;7;30;45
Richard Stock;07.12.2018 00:00:00;Added Comments and changed Methods and many more.;0af9a2d;7;79;35
Richard Stock;06.12.2018 00:00:00;Changed the LightAnDB and found a bug in Automat.;92fb213;5;27;26
Richard Stock;06.12.2018 00:00:00;Added a new APP for Light and Db;a28e86d;7;237;0
Richard Stock;06.12.2018 00:00:00;Merge branch 'TSL2561' into 'master';843f4f5;0;0;0
Richard Stock;06.12.2018 00:00:00;Added ReadMe and changed the ReadMe from KY-037;53c5e5d;2;51;0
Richard Stock;06.12.2018 00:00:00;Changed sth in Automat TSL working now.;9827564;11;38;164
PeterSigmund12;05.12.2018 00:00:00;Edit Pir.cpp;0f59d76;4;101;11
Richard Stock;05.12.2018 00:00:00;Merge branch 'master' into 'TSL2561';ab5b655;0;0;0
Richard Stock;05.12.2018 00:00:00;Merge branch 'LED' into 'master';2a69668;0;0;0
Richard Stock;05.12.2018 00:00:00;Added a new Method for LED also added ReadMe #28;28e157c;5;81;7
Richard Stock;05.12.2018 00:00:00;Merge branch 'KY-037' into 'master';7e8b459;0;0;0
Richard Stock;05.12.2018 00:00:00;Merge branch 'master' into 'KY-037';6d07056;0;0;0
Richard Stock;05.12.2018 00:00:00;Added Readme also small changes in Automat;23ba892;4;170;3
Richard Stock;05.12.2018 00:00:00;Added Automat and changes KY-037;106c945;6;128;47
Richard Stock;04.12.2018 00:00:00;Merge branch 'Beeper' into 'master';63e0aef;0;0;0
Richard Stock;04.12.2018 00:00:00;Wrong Text in ReadMe;90fa215;0;0;0
Richard Stock;04.12.2018 00:00:00;Added ReadMe;10c8153;0;0;0
Richard Stock;04.12.2018 00:00:00;Merge branch 'UdpLogger' into 'master';c762dc5;0;0;0
Richard Stock;04.12.2018 00:00:00;Changed the KY.;481a4fa;3;36;10
PeterSigmund12;04.12.2018 00:00:00;Merge;7da6fb6;0;0;0
PeterSigmund12;04.12.2018 00:00:00;Add ClassRoomBeamerSwitch;732d740;12;254;6
Richard Stock;04.12.2018 00:00:00;Sensor have some issues to convert from mv to db .;ba2b41e;4;27;53
Richard Stock;03.12.2018 00:00:00;LED working now.;ae834bf;7;17;7
Richard Stock;03.12.2018 00:00:00;Added ScannerLED and changed RainbowLED;8cf2268;6;90;9
Richard Stock;03.12.2018 00:00:00;Chagned a lot;448301c;7;622;25
gkoe;03.12.2018 00:00:00;mqttclient getestet;8ed9413;5;49;45
gkoe;03.12.2018 00:00:00;DisplayLoggerTarget BugFixes;fc90b64;36;2537;34
Richard Stock;03.12.2018 00:00:00;Some changes;777f2c1;0;0;0
Richard Stock;02.12.2018 00:00:00;Found a issue in MqttClient also changed some test.;26f90ad;8;235;242
Richard Stock;01.12.2018 00:00:00;Changed the UdpClient;747c9ce;9;156;92
Richard Stock;01.12.2018 00:00:00;Merge probolem with .suo;18af44b;0;0;0
Richard Stock;01.12.2018 00:00:00;Issues;d02458e;0;0;0
gkoe;01.12.2018 00:00:00;MqttClient review;a5bbef5;25;576;43
gkoe;01.12.2018 00:00:00;UdpLoggerTarget review;65b7db3;16;71;344
Richard Stock;30.11.2018 00:00:00;Merge branch 'UdpLogger' into 'master';66ed8d0;0;0;0
Richard Stock;30.11.2018 00:00:00;Found error problem with _udp.begin();4ab5ac5;4;7;6
gkoe;30.11.2018 00:00:00;Serial.print => Logger.info() in InternLed und ThingConfig;f345093;11;116;120
gkoe;30.11.2018 00:00:00;Irda WPF hard coded config angepasst;1d6b4c3;9;52;3
Richard Stock;29.11.2018 00:00:00;Changed the ReadMe of MqttClient;39763fa;0;0;0
Richard Stock;29.11.2018 00:00:00;Changed the ReadMe of UdpLoggerTarget;40c0987;0;0;0
Richard Stock;29.11.2018 00:00:00;Changed UdpLogger like he should;94f5049;8;59;64
gkoe;29.11.2018 00:00:00;Merge branch 'master' of gitlab.com:gkoe/LeoIot;49233db;0;0;0
gkoe;29.11.2018 00:00:00;Merge branch 'thingconfig-deletekey';1a57da1;0;0;0
PeterSigmund12;29.11.2018 00:00:00;Add Files;30a25bc;0;0;0
gkoe;29.11.2018 00:00:00;ThingConfig deleteKey() und Codeverbesserungen;87227cb;5;41;10
PeterSigmund12;29.11.2018 00:00:00;Add WPF Program;47a76f6;27;688;263
PeterSigmund12;29.11.2018 00:00:00;Edit Files;b09d13a;0;0;0
PeterSigmund12;29.11.2018 00:00:00;Finish Readme;2fbe403;4;10;0
